site.plot,days
Duval.DryA,21
Duval.DryB,14
Duval.WetA,21
Duval.WetB,14
Mourachan.DryA,21
Mourachan.DryB,21
Mourachan.WetA,21
Mourachan.WetB,21
Rinyirru.DryA,28
Rinyirru.DryB,28
Rinyirru.WetA,28
Rinyirru.WetB,28
Tarcutta.DryA,28
Tarcutta.DryB,28
Tarcutta.WetA,28
Tarcutta.WetB,28
Undara.DryA,28
Undara.DryB,27
Undara.WetA,28
Undara.WetB,27
Wambiana.DryA,28
Wambiana.DryB,28
Wambiana.WetA,28
Wambiana.WetB,28
